Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10600182,1,"Wednesday, November 14, 2012 15:57:14 UTC",57.6160,-142.7696,3.1,15.00,17,"Gulf of Alaska"
ak,10600177,1,"Wednesday, November 14, 2012 15:24:14 UTC",61.4884,-140.8034,1.8,0.20,12,"Southern Yukon Territory, Canada"
nn,00393814,9,"Wednesday, November 14, 2012 14:50:12 UTC",37.4265,-115.6196,1.1,0.00,11,"Nevada"
nn,00393813,9,"Wednesday, November 14, 2012 14:19:06 UTC",37.9540,-118.1047,1.5,8.50,11,"Nevada"
nc,71886096,0,"Wednesday, November 14, 2012 13:04:22 UTC",37.4880,-118.8393,1.0,2.00, 8,"Central California"
ak,10600156,1,"Wednesday, November 14, 2012 12:39:01 UTC",57.8673,-142.6946,3.1,46.80,19,"Gulf of Alaska"
ak,10600154,1,"Wednesday, November 14, 2012 12:36:00 UTC",62.6097,-151.1398,1.6,6.40, 5,"Central Alaska"
nc,71886091,0,"Wednesday, November 14, 2012 12:17:43 UTC",36.5623,-121.0265,1.5,7.80, 9,"Central California"
ak,10600148,1,"Wednesday, November 14, 2012 12:13:46 UTC",61.4171,-151.7160,2.0,83.40, 6,"Southern Alaska"
us,c000dsf7,3,"Wednesday, November 14, 2012 11:43:01 UTC",26.6719,102.5105,4.7,46.00,19,"Sichuan-Yunnan border region, China"
us,c000dsfa,4,"Wednesday, November 14, 2012 11:40:59 UTC",-20.9188,-173.8759,4.5,46.00,128,"Tonga"
ak,10600142,1,"Wednesday, November 14, 2012 11:22:48 UTC",61.5552,-146.5361,1.8,27.40,11,"Southern Alaska"
uw,60474307,1,"Wednesday, November 14, 2012 11:10:27 UTC",47.8810,-121.6423,1.1,9.30,26,"Washington"
nc,71886066,0,"Wednesday, November 14, 2012 11:05:22 UTC",37.4852,-118.8413,1.2,2.00,16,"Central California"
nc,71886061,0,"Wednesday, November 14, 2012 10:51:03 UTC",38.8363,-122.8122,1.0,2.60,19,"Northern California"
nc,71886056,3,"Wednesday, November 14, 2012 10:41:50 UTC",36.5752,-121.0372,2.2,8.00,69,"Central California"
ci,15245009,0,"Wednesday, November 14, 2012 10:34:47 UTC",32.8370,-116.0363,1.8,8.50,76,"Southern California"
ak,10600133,1,"Wednesday, November 14, 2012 10:29:40 UTC",62.8382,-143.5584,2.0,0.00,16,"Central Alaska"
ak,10600129,1,"Wednesday, November 14, 2012 10:11:57 UTC",60.2179,-151.8085,2.0,67.50,19,"Kenai Peninsula, Alaska"
hv,60431141,2,"Wednesday, November 14, 2012 10:00:35 UTC",19.3872,-155.2503,2.0,3.50,28,"Island of Hawaii, Hawaii"
nc,71886051,2,"Wednesday, November 14, 2012 09:41:59 UTC",36.2873,-120.8508,1.2,5.90,17,"Central California"
ak,10600123,1,"Wednesday, November 14, 2012 09:32:20 UTC",61.5916,-151.6387,1.6,95.50,11,"Southern Alaska"
ci,15244993,0,"Wednesday, November 14, 2012 09:25:59 UTC",33.0412,-116.4510,1.2,5.20,49,"Southern California"
ak,10600117,1,"Wednesday, November 14, 2012 09:20:13 UTC",61.3054,-146.8068,1.8,35.30,15,"Southern Alaska"
us,c000dsdj,6,"Wednesday, November 14, 2012 09:15:51 UTC",-30.0707,-174.5414,4.8,32.50,22,"Kermadec Islands region"
nc,71886041,1,"Wednesday, November 14, 2012 09:03:52 UTC",38.8200,-122.7935,1.3,3.20,28,"Northern California"
nn,00393804,9,"Wednesday, November 14, 2012 09:03:20 UTC",39.9246,-117.9796,1.3,0.00, 4,"Nevada"
ci,15244985,0,"Wednesday, November 14, 2012 08:56:10 UTC",35.4922,-118.4065,1.7,9.50,44,"Central California"
ci,15244969,0,"Wednesday, November 14, 2012 08:43:31 UTC",33.2697,-116.3288,1.4,11.30,43,"Southern California"
ak,10600104,1,"Wednesday, November 14, 2012 08:39:22 UTC",61.9356,-147.3490,2.2,6.50,27,"Southern Alaska"
ci,15244961,0,"Wednesday, November 14, 2012 08:26:00 UTC",34.0248,-117.2188,1.2,15.70,76,"Greater Los Angeles area, California"
ci,15244953,0,"Wednesday, November 14, 2012 08:20:15 UTC",32.7953,-115.4278,1.7,10.20,13,"Southern California"
ak,10600099,1,"Wednesday, November 14, 2012 08:07:40 UTC",61.4493,-140.7372,1.6,7.70, 6,"Southern Yukon Territory, Canada"
nc,71886021,0,"Wednesday, November 14, 2012 07:59:25 UTC",37.6452,-118.9387,1.2,7.40,21,"Long Valley area, California"
us,c000dsck,7,"Wednesday, November 14, 2012 07:41:58 UTC",-20.6661,-174.0458,5.1,39.60,156,"Tonga"
uw,60474287,1,"Wednesday, November 14, 2012 07:41:49 UTC",47.5872,-122.3863,1.0,25.50,29,"Seattle-Tacoma urban area, Washington"
nc,71886001,0,"Wednesday, November 14, 2012 07:27:49 UTC",38.8262,-122.8400,1.0,1.40,17,"Northern California"
us,c000dscg,7,"Wednesday, November 14, 2012 07:24:28 UTC",35.6722,29.9275,4.7,10.10,53,"eastern Mediterranean Sea"
pr,12319001,0,"Wednesday, November 14, 2012 07:23:04 UTC",18.1266,-67.1126,2.6,63.00, 3,"Puerto Rico"
uw,60474277,1,"Wednesday, November 14, 2012 07:10:45 UTC",44.5900,-125.1368,2.6,41.10,17,"offshore Oregon"
ci,15244937,0,"Wednesday, November 14, 2012 06:58:36 UTC",33.5178,-116.4038,1.1,11.60,49,"Southern California"
ci,15244929,0,"Wednesday, November 14, 2012 06:21:55 UTC",35.4115,-117.8282,2.3,1.70,24,"Southern California"
ci,15244913,0,"Wednesday, November 14, 2012 06:16:28 UTC",35.8643,-118.1022,1.9,12.10,23,"Central California"
nc,71885971,2,"Wednesday, November 14, 2012 06:07:44 UTC",38.9952,-123.0592,1.4,6.40,19,"Northern California"
ci,15244889,0,"Wednesday, November 14, 2012 05:34:14 UTC",34.0343,-116.7193,1.2,13.40,58,"Southern California"
ci,15244881,0,"Wednesday, November 14, 2012 05:27:05 UTC",32.9382,-116.2782,1.5,7.20,45,"Southern California"
us,c000dsbw,9,"Wednesday, November 14, 2012 05:21:43 UTC",9.9914,122.4305,5.6,46.40,197,"Negros, Philippines"
hv,60430986,2,"Wednesday, November 14, 2012 05:19:03 UTC",19.3773,-155.2858,2.0,2.60,25,"Island of Hawaii, Hawaii"
ci,15244873,2,"Wednesday, November 14, 2012 05:15:32 UTC",33.6963,-116.7298,1.0,20.00,46,"Southern California"
ak,10600063,1,"Wednesday, November 14, 2012 04:49:36 UTC",60.2933,-152.1440,2.1,80.20,11,"Southern Alaska"
ci,15244857,2,"Wednesday, November 14, 2012 04:40:05 UTC",35.9488,-117.7077,1.7,3.50,33,"Central California"
ak,10600056,1,"Wednesday, November 14, 2012 04:35:25 UTC",58.4341,-143.1270,2.4,61.40,21,"Gulf of Alaska"
ci,15244841,2,"Wednesday, November 14, 2012 04:27:46 UTC",33.4152,-116.3715,1.9,14.40,97,"Southern California"
ak,10600049,1,"Wednesday, November 14, 2012 04:26:01 UTC",57.1544,-143.0182,3.1,66.20,17,"Gulf of Alaska"
nc,71885921,0,"Wednesday, November 14, 2012 04:25:49 UTC",37.6432,-118.9365,1.5,7.80,18,"Long Valley area, California"
nc,71885916,0,"Wednesday, November 14, 2012 04:21:35 UTC",40.1602,-121.2303,1.8,9.30, 8,"Northern California"
nc,71885911,0,"Wednesday, November 14, 2012 04:09:04 UTC",38.8103,-122.8130,1.3,3.00,23,"Northern California"
nn,00393786,9,"Wednesday, November 14, 2012 03:42:40 UTC",37.4585,-114.1650,1.7,5.20, 6,"Nevada"
ak,10600038,1,"Wednesday, November 14, 2012 03:40:41 UTC",61.1272,-141.0831,2.4,3.10,26,"Southern Alaska"
hv,60430946,1,"Wednesday, November 14, 2012 03:30:50 UTC",19.1887,-155.7103,2.0,7.60,12,"Island of Hawaii, Hawaii"
ci,15244833,2,"Wednesday, November 14, 2012 03:08:36 UTC",33.5658,-116.5937,1.9,14.60,35,"Southern California"
us,c000dsb2,4,"Wednesday, November 14, 2012 03:04:46 UTC",51.8201,-130.5590,4.7,15.30,207,"Queen Charlotte Islands, Canada region"
hv,60430916,1,"Wednesday, November 14, 2012 02:28:56 UTC",19.4110,-155.5158,1.7,17.40,10,"Island of Hawaii, Hawaii"
